"tweets.id" "tweets.created" "tweets.text"
"1" "801633064199815168" 1479959190 "I can't believe I'm rooting 4 @OhioStateFB over @UMichFootball. I do not like @CoachRodAZ #HailWV or @CoachJim4UM #CollegeGameDay #OSUvsUM"
"2" "801632088428609536" 1479958958 "@CFBPlayoff @UMichFootball @OhioStateFB @drpepper @espn These rankings are a joke, u have teams lost twice in top ten"
"3" "801630584690868224" 1479958599 "go @UMichFootball beat @OhioStateFB #MICHvsOSU #TheGame #GoBlue"
"4" "801629592809185281" 1479958363 "Why isn't the @UMichFootball vs @OhioStateFB game under the lights....PRIME TIME!!!! @NCAAFootball"
"5" "801628352050266112" 1479958067 "@baronbrwnng @OhioStateFB @AlabamaFTBL @TCUFootball @UCLAFootball @UMichFootball @FSU_Football @TheArdist @Claywill3_  come to Texas!"
"6" "801627876084895744" 1479957953 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"7" "801624746270007296" 1479957207 "RT @RichEisenShow: The first memory of @OhioStateFB v. @UMichFootball for Urban Meyer wasn't exactly what @richeisen was expecting but made‚Ä¶"
"8" "801621736013922305" 1479956489 "Will @UMichFootball or @OhioStateFB come out on top Saturday? #CollegeFootballPlayoff #MichiganvsOhioState https://t.co/A6cKFC0qLh"
"9" "801620387914194944" 1479956168 "RT @ESPNCFB: These @OhioStateFB and @UMichFootball fans around the world don't let distance get in way of their fandom. https://t.co/J7bD02‚Ä¶"
"10" "801619086102794240" 1479955858 "Yes it does! @UMichFootball v. @OhioStateFB ! #GoBlue Ì†ΩÌ∏Ü https://t.co/oRyasucPhW"
"11" "801617840339972096" 1479955561 "@robertpatrickT2 @UMichFootball @RichEisenShow @OhioStateFB @EddieGeorge2727 @richeisen Not gonna happen! Go OSU!"
"12" "801612971592089600" 1479954400 "RT @ESPNCFB: These @OhioStateFB and @UMichFootball fans around the world don't let distance get in way of their fandom. https://t.co/J7bD02‚Ä¶"
"13" "801610865271111680" 1479953898 "RT @ESPNCFB: These @OhioStateFB and @UMichFootball fans around the world don't let distance get in way of their fandom. https://t.co/J7bD02‚Ä¶"
"14" "801608856371609601" 1479953419 "RT @ESPNCFB: These @OhioStateFB and @UMichFootball fans around the world don't let distance get in way of their fandom. https://t.co/J7bD02‚Ä¶"
"15" "801608738629029888" 1479953391 "@vaughnbroadnax, I maybe a @UMichFootball fan; however I have mad respect for @OhioStateFB."
"16" "801606723991719936" 1479952910 "RT @TheFanZone404: If #PennState Wins the @bigten, And @OhioStateFB Beats @UMichFootball, do the #NittanyLions go to the #CFP?"
"17" "801601913737379841" 1479951763 "@ESPNCFB @OhioStateFB @UMichFootball  #espnnow so beating no body to get an inflated record is talent... beating somebody quality is not"
"18" "801599082770874370" 1479951088 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"19" "801597881216077824" 1479950802 "If #PennState Wins the @bigten, And @OhioStateFB Beats @UMichFootball, do the #NittanyLions go to the #CFP?"
"20" "801597761862909955" 1479950774 "@robertpatrickT2 @UMichFootball @RichEisenShow @OhioStateFB @EddieGeorge2727 yes!!! Go blue"
"21" "801597365132128256" 1479950679 "RT @ESPNCFB: These @OhioStateFB and @UMichFootball fans around the world don't let distance get in way of their fandom. https://t.co/J7bD02‚Ä¶"
"22" "801595315325386760" 1479950190 "Get to eat all day then watch the @steelers tomorrow. Do nothing on Friday. And @UMichFootball vs @OhioStateFB on Sat. Life is good."
"23" "801592983430664192" 1479949634 "@baronbrwnng @OhioStateFB @AlabamaFTBL @TCUFootball @UCLAFootball @UMichFootball @FSU_Football @TheArdist @Claywill3_ RTR!We want u at Bama!"
"24" "801590974594039814" 1479949155 "@baronbrwnng @OhioStateFB @AlabamaFTBL @TCUFootball @UCLAFootball @UMichFootball @FSU_Football @TheArdist @Claywill3_ go to Bama , LB U"
"25" "801590432169869312" 1479949026 "RT @ESPNCFB: These @OhioStateFB and @UMichFootball fans around the world don't let distance get in way of their fandom. https://t.co/J7bD02‚Ä¶"
